,,0,1
cpt_General TScore Omissions,mean,96.27204536755102,79.07501289220001
cpt_General TScore Omissions,std,220.35306000990013,52.48815512801325
cpt_Adhd TScore Omissions,mean,57.118888075306124,63.023981931
cpt_Adhd TScore Omissions,std,46.037128909148734,41.09624824623026
cpt_Neuro TScore Omissions,mean,49.68791331102041,47.5134984586
cpt_Neuro TScore Omissions,std,21.246836446249716,8.87797798868909
cpt_Raw Score Omissions,mean,15.89795918367347,11.54
cpt_Raw Score Omissions,std,64.21131938696608,16.132373334006225
cpt_Percent Omissions,mean,4.915474974387755,3.57244963814
cpt_Percent Omissions,std,19.848770678091814,4.994676753421615
cpt_General TScore Commissions,mean,50.89112398469388,60.6564954376
cpt_General TScore Commissions,std,10.973163643883,13.71765134428079
cpt_Adhd TScore Commissions,mean,48.464761423061226,59.1062504962
cpt_Adhd TScore Commissions,std,11.013245962606247,13.784072619552747
cpt_Neuro TScore Commissions,mean,47.71140242714286,55.310076980599995
cpt_Neuro TScore Commissions,std,8.662189490531162,13.388903964223932
cpt_Raw Score Commissions,mean,12.306122448979592,19.64
cpt_Raw Score Commissions,std,7.144940172459613,8.975613218775708
cpt_Percent Commissions,mean,34.25332027512245,54.67460298492
cpt_Percent Commissions,std,19.843478328435356,24.96612654091251
cpt_General TScore HitRT,mean,46.651052201836734,47.8701845546
cpt_General TScore HitRT,std,16.511467333359164,18.24384521017603
cpt_Adhd TScore HitRT,mean,43.05824592085714,45.124106959600006
cpt_Adhd TScore HitRT,std,16.950215492828317,20.08875308290297
cpt_Neuro TScore HitRT,mean,41.1772348432653,41.5618635178
cpt_Neuro TScore HitRT,std,11.343096955008813,11.426407661393583
cpt_Raw Score HitRT,mean,376.53216490204085,390.94352355800004
cpt_Raw Score HitRT,std,106.48207657319209,106.48310746310982
cpt_Percent HitRT,mean,-0.04081632653061224,0.0
cpt_Percent HitRT,std,0.199914947901746,0.0
cpt_General TScore HitSE,mean,48.02286140183674,62.0806754312
cpt_General TScore HitSE,std,16.297063868336018,18.697709058569462
cpt_Adhd TScore HitSE,mean,42.92016671632653,57.8023815138
cpt_Adhd TScore HitSE,std,15.639052296498564,23.227943328963836
cpt_Neuro TScore HitSE,mean,39.01730194897959,45.803997878800004
cpt_Neuro TScore HitSE,std,10.2781009009949,10.376260608245008
cpt_Raw Score HitSE,mean,5.241868627346939,8.1830686951
cpt_Raw Score HitSE,std,2.4403926101192357,5.219731124285484
cpt_Percent HitSE,mean,-0.04081632653061224,0.0
cpt_Percent HitSE,std,0.199914947901746,0.0
cpt_General TScore VarSE,mean,46.219434971224494,63.4121095282
cpt_General TScore VarSE,std,15.523848808862798,18.26253859215178
cpt_Adhd TScore VarSE,mean,42.03544978693878,57.5889398578
cpt_Adhd TScore VarSE,std,14.16169674914911,16.578668899060222
cpt_Neuro TScore VarSE,mean,38.75458211265306,48.574817047799996
cpt_Neuro TScore VarSE,std,10.493731657003917,12.786178271030815
cpt_Raw Score VarSE,mean,6.576124055163265,15.54176547074
cpt_Raw Score VarSE,std,4.687025976978723,15.303814338069044
cpt_Percent VarSE,mean,-0.04081632653061224,0.0
cpt_Percent VarSE,std,0.199914947901746,0.0
cpt_General TScore DPrime,mean,52.703406432040815,56.8532063288
cpt_General TScore DPrime,std,13.606998748247948,10.375706752718296
cpt_Adhd TScore DPrime,mean,49.49443933897959,55.996190109
cpt_Adhd TScore DPrime,std,13.792975115907508,12.53348951654792
cpt_Neuro TScore DPrime,mean,49.30849542428572,53.9661643974
cpt_Neuro TScore DPrime,std,11.637849625066702,12.306137287953545
cpt_Raw Score DPrime,mean,0.7249545953877552,0.46494264586
cpt_Raw Score DPrime,std,0.4837301577676352,0.45207774090893366
cpt_General TScore Beta,mean,49.75628354653061,51.381746558799996
cpt_General TScore Beta,std,12.912625256251197,10.1068323220826
cpt_Adhd TScore Beta,mean,49.51139582408163,54.654322357
cpt_Adhd TScore Beta,std,12.625844836685086,15.255571749025545
cpt_Neuro TScore Beta,mean,46.39898549265306,47.4858238986
cpt_Neuro TScore Beta,std,6.363989660231221,11.967673730619422
cpt_Raw Score Beta,mean,0.6003803565218044,0.994196795668
cpt_Raw Score Beta,std,0.6280950725196941,1.1547624840195192
cpt_General TScore Perseverations,mean,50.071423197959184,88.36998778819999
cpt_General TScore Perseverations,std,15.366922960191925,68.43193395507708
cpt_Adhd TScore Perseverations,mean,46.42150333938776,56.1553704078
cpt_Adhd TScore Perseverations,std,4.734713770451131,20.126268869208612
cpt_Neuro TScore Perseverations,mean,45.366504979999995,48.253663177199996
cpt_Neuro TScore Perseverations,std,1.6699341559523173,10.386847544863304
cpt_Raw Score Perseverations,mean,0.30612244897959184,2.88
cpt_Raw Score Perseverations,std,0.8466621136521214,4.245718131126888
cpt_Percent Perseverations,mean,0.09477475285714286,0.8916026443
cpt_Percent Perseverations,std,0.26212449633518203,1.3144719240169114
cpt_General TScore HitRTBlock,mean,45.82755431306123,50.138267326
cpt_General TScore HitRTBlock,std,13.763042219116883,11.714319187283321
cpt_Adhd TScore HitRTBlock,mean,42.022125633469386,47.35510910040001
cpt_Adhd TScore HitRTBlock,std,13.767667305505551,11.753581086223258
cpt_Neuro TScore HitRTBlock,mean,45.82119747,48.665265617
cpt_Neuro TScore HitRTBlock,std,12.013906825843712,10.94751185267757
cpt_Raw Score HitRTBlock,mean,-0.0038359261,0.0009410226199999999
cpt_Raw Score HitRTBlock,std,0.02340469671533162,0.02707347611405792
cpt_Percent HitRTBlock,mean,-0.04081632653061224,0.0
cpt_Percent HitRTBlock,std,0.199914947901746,0.0
cpt_General TScore HitSEBlock,mean,50.77573246897959,57.29182537008
cpt_General TScore HitSEBlock,std,16.030247537228366,15.380432008496156
cpt_Adhd TScore HitSEBlock,mean,45.585722125102045,52.0376207542
cpt_Adhd TScore HitSEBlock,std,14.274749783380662,13.435434469245767
cpt_Neuro TScore HitSEBlock,mean,46.95124637816326,50.544525375000006
cpt_Neuro TScore HitSEBlock,std,12.287020185289304,11.971271647785025
cpt_Raw Score HitSEBlock,mean,-0.006543315632653061,0.02109016646
cpt_Raw Score HitSEBlock,std,0.07443353521167952,0.09886299444144049
cpt_Percent HitSEBlock,mean,-0.04081632653061224,0.0
cpt_Percent HitSEBlock,std,0.199914947901746,0.0
cpt_General TScore HitRTIsi,mean,45.35076258142857,53.0465631106
cpt_General TScore HitRTIsi,std,13.717645609347695,9.913232344423076
cpt_Adhd TScore HitRTIsi,mean,43.18491962959184,48.9598562242
cpt_Adhd TScore HitRTIsi,std,10.889070534873222,7.7812611144125645
cpt_Neuro TScore HitRTIsi,mean,41.61563063653062,45.7824522398
cpt_Neuro TScore HitRTIsi,std,11.138510165759762,8.679130675757158
cpt_Raw Score HitRTIsi,mean,0.03681300779591837,0.05715575054
cpt_Raw Score HitRTIsi,std,0.02975414838425963,0.027813875737241735
cpt_Percent HitRTIsi,mean,-0.04081632653061224,0.0
cpt_Percent HitRTIsi,std,0.199914947901746,0.0
cpt_General TScore HitSEIsi,mean,47.2313247987755,51.4546333312
cpt_General TScore HitSEIsi,std,14.89377361665913,15.984164903733383
cpt_Adhd TScore HitSEIsi,mean,44.61699579183673,49.329514084
cpt_Adhd TScore HitSEIsi,std,12.641659491337254,15.623306072801988
cpt_Neuro TScore HitSEIsi,mean,42.79962967857143,45.8786556244
cpt_Neuro TScore HitSEIsi,std,10.973161143298075,13.320632293190274
cpt_Raw Score HitSEIsi,mean,-0.013142238346938775,0.01059182402
cpt_Raw Score HitSEIsi,std,0.09221579180255861,0.14692156001534293
cpt_Percent HitSEIsi,mean,-0.04081632653061224,0.0
cpt_Percent HitSEIsi,std,0.199914947901746,0.0
